Downloaded from FDA Inventory of Effective Food Contact Substance (FCS) Notifications; http://www.hfpappexternal.fda.gov/scripts/fdcc/?set=FCN; Last updated 2/28/2025; downloaded 3/31/2025.

"According to Section 409(h)(1)(C) of the FFDCA, food contact substance notifications (FCNs) are effective only for the listed manufacturer and its customers. Other manufacturers must submit their own FCN for the same food contact substance & intended use."

FCN No,Message,Addl Info description,Addl Info details,Addl Info details 2,Addl Info details 3,Food Contact Substance,FCS REPLACED BY,Notifier,Manufacturer Supplier,Intended Use,Limitations Specifications,Effective Date,NEPA Submission,FDA Decision for NEPA
=T("38"),,,,,," n-Octyl phosphonic acid (NOPA)-modified titanium dioxide (produced by chemically reacting NOPA (CAS Reg. No. 4724-48-5) with titanium dioxide to achieve a treatment level of 0.85 percent by weight of NOPA on the pigment).",," Huntsman Tioxide"," Huntsman Tioxide"," As a colorant in all types of food-contact polymers."," Maximum use level of 30 percent by weight of the polymer. The finished polymers are intended to contact all types of food under Condition of Use C, as described in Table 2, or less severe conditions. Use of the colorant is subject to the provisions and definitions set forth in 21 CFR 178.3297.",06/03/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("39"),,,,,," 1,2-Bis(3,5-di-tert-butyl-4-hydroxyhydrocinnamoyl)hydrazine (CAS Reg. No. 32687-78-8).",," Ciba Specialty Chemicals Corporation"," BASF Corporation"," As a stabilizer in polypropylene polymers and copolymers complying with 21 CFR 177.1520(c)."," Maximum use level of 0.12% by weight of the polymer. The finished polymers are intended to contact all types of food under Conditions of Use B through H, as described in Table 2, unless otherwise restricted by the applicable limitations for the polypropylene polymers and copolymers complying with 21 CFR 177.1520(c).",07/22/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("40"),,,,,," Polyphenylene sulfide polymers (CAS Reg. No. 25212-74-2 or 26125-40-6)",," Ticona"," Ticona"," As a polymeric component of repeated use food-contact articles."," The polyphenylene sulfide polymers are to be manufactured by the equimolar reaction of sodium sulfide and p-dichlorobenzene using the synthetic scheme described in your notification. The finished polymer has a melt temperature (Tm) of 272-283°C and an average molecular weight ranging from 25,000 to 100,000 Daltons. The polymer will be used under conditions of use A through H and in contact with all types of food.",06/28/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("41"),,,,,," Silicone acrylate resins produced by the addition of &omega;-hydroxyalkenes and/or propenyloxy-2,3-dihydroxypropane, mono- or diester with acrylic acid, acetic acid, or other saturated monocarboxylic acid, to dimethyl polysiloxane, methylhydrogen polysiloxane, or dimethyl-methylhydrogen polysiloxane. The cured resins may include substances permitted for use by regulation in 21 CFR 170-189, substances generally recognized as safe, substances used in accordance with prior sanction approval, and the following substances as photoinitiators: 2-hydroxy-2-methyl-1-phenyl-1-propanone (CAS Reg. No. 7473-98-5) and/or oligomeric -2-hydroxy-2-methyl-1-[4-(1-methylvinyl)phenyl]-1-propanone (CAS Reg. No. 163702-01-0). The total photoinitiator levels shall not exceed 3 percent by weight of silicone acrylate resin in coatings.",," Goldschmidt Chemical Corporation"," Evonik Corporation"," As coatings or components of coatings on polymeric substrates and on paper and paperboard, at a maximum level of 1.3 milligrams per square inch (mg/in<sup>2</sup>), in contact with all food types under conditions of use E, F, G, and H as defined in Table 2."," The resins shall be cured by the use of electron beam or ultraviolet light such that the finished coating, when extracted with 50 percent ethanol at 100°C for 2 hours, yields total chloroform-soluble nonvolatile extractives not to exceed 0.02 milligram per square inch (mg/in<sup>2</sup>).",06/07/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("42"),,,,,," A grafted copolymer of cross-linked sodium polyacrylate identified as 2-propenoic acid, polymers with N,N-di-2 propenyl -2-propen -1-amine and hydrolyzed polyvinyl acetate, sodium salts, graft (CAS Reg. No. 166164-74-5)",," Stockhausen, Inc."," Evonik Corporation"," For use as an absorptive medium in absorbent pads employed in the packaging of refrigerated or frozen red meat."," The finished copolymer must meet all specifications and limitations prescribed in 21 CFR 177.1211(b) and (c).",06/10/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)/EA Supplement"
=T("43"),,,,,," Nickel-iron alloy. Its composition is as follows: Ni (80-83 percent by weight), S (0-0.005 % by weight), C (0-0.005% by weight), Mo (1-3% by weight), Fe (14-19% by weight).",," Marlen Research Corporation"," Ametek Specialty"," Used in seals for food processing equipment."," This metal would be used in a fine powder form in acrylonitrile/butadiene resin contacting meat products at up to 35°F, and fruit and vegetable products at up to 180°F.",06/07/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("44"),,,,,," Hexanedioic acid polymer with 1,3-benzenedimethanamine meeting the specifications in 21 CFR 177.1500(b) item 10.2, when tested by the methods given in 21 CFR 177.1500(c) (CAS Reg. No. 25718-70-1).",," Toyobo Co., Ltd."," Toyobo Co., Ltd."," As a modifier for polyethylene terephthalate (PET) polymers."," (a) At levels not to exceed 30 percent by weight of the modified PET in contact with food types I, II, IVB, VIA, VIB, VIIB and VIII as described in Table 1 of this chapter, and under conditions of use C through G as described in Table 2 of this chapter. Chloroform soluble extractives shall not exceed 0.08 milligrams/centimeter2 (0.5 mg/inch2) of food-contact surface of the modified polyethylene terephthalate article when exposed to water at 95°C (203°F) for 1 hour followed by 49°C (120°F) for 24 hours. (b) At levels not to exceed 10 percent by weight of the modified PET in contact with foods containing greater than 8 percent ethanol, at temperatures not exceeding 71°C (160°F). Chloroform soluble extractives shall not exceed 0.08 milligrams/centimeter2 (0.5 mg/inch2) of food-contact surface of the modified polyethylene terephthalate article when exposed to 50 percent ethanol at 71°C (160°F) for one hour followed by 49°C (120°F) for 24 hours.",06/06/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)/EA Supplement"
=T("45"),,,,,," Two quaternary amine (QAE) cellulose ion exchange resins (IXRs): (1) high substitution QAE cellulose IXR (1.5-2.5 milliequivalents quaternary ammonium per dry g of resin); and (2) high protein capacity QAE cellulose IXR (1.0-1.5 milliequivalents quaternary ammonium per dry g resin). Both IXRs consist of a base matrix of regenerated cellulose, cross-linked and alkylated with epichlorohydrin and propylene oxide. Dimethyl hydroxyethyl ammonium groups are added to the polymer to provide binding sites.",," Life Technologies, Inc."," Life Technologies, Inc."," For use in the isolation and purification of protein concentrates and isolates from aqueous process streams for food processing."," The amount of epichlorohydrin plus propylene oxide employed in manufacture of the resins does not exceed 400 percent by weight of the starting quantity of cellulose. The resins comply with the requirements listed in 21 CFR 173.25(c) and 21 CFR 173.25(d)(2)(ii). The resins shall be used only in the pH range from 2 to 10. The temperatures of water and food passing through the resins shall not exceed 50°C.",06/10/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("46"),,,,,," Salicylamide (CAS Reg. No. 65-45-2)",," Lubrizol Corporation"," Lubrizol Corporation"," For use as an anti-wear component of lubricants with incidental food contact."," For use at a level not to exceed 0.5 percent by weight of lubricants for incidental food contact.",06/12/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("47"),,,,,," Zeolite A in which silver, zinc and ammonium ions have been exchanged for sodium ions. The silver content of the modified zeolite shall not exceed 2.5 percent by weight.",," Sinanen Zeomic Company, Ltd."," Sinanen Zeomic Company, Ltd."," As an antimicrobial agent to supplement the sterilization of aseptic food-contact polymers."," The FCS will be used at levels not to exceed 5 percent by weight of the finished polymer. The finished polymers are intended to contact all types of food under Conditions of Use A through H, as described in Table 2.",06/09/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("48"),,,,,," Poly(ethylene-methyl acrylate-cyclohexenylmethyl acrylate) (CAS Reg. No. 223503-47-7).",," Cryovac, Inc."," Cryovac, Inc."," As a component of articles used in contact with dry food containing no surface fat or oil (i.e., food type VIII as described in Table 1) and as a component of multi-layer articles in contact with food."," 1. The polymer is produced by the transesterification of ethylene-methyl acrylate copolymer complying with 21 CFR 177.1340 with cyclohexenyl methanol (CAS Reg. No. 1679-51-2).2. The polymer shall contain a minimum of 65 weight percent ethylene, no more than 28 weight percent cyclohexenylmethyl acrylate, with the remainder being methyl acrylate units.3. The polymer may contain up to 0.1 percent benzoylated triphenylbenzene (CAS Reg. No. 227099-60-7). For use only: 1. As a component of articles in contact with dry food containing no surface fat or oil (i.e., food type VIII as described in Table 1).2. As a non-food contact layer of laminate structures. The multi-layer articles shall be flexible films, rigid polypropylene containers, or containers made of paper or paperboard. The food-contact substance will be separated from the food by one or more polymeric layers permitted for this use that have a total thickness no less than 0.25 mil (0.00025 in): (a) aqueous, acidic and low alcohol-content food (food types I, II, IV-B, VI-A, VI-B, VII-B, as described in Table 1), under Conditions of Use C through G, as described in Table 2, provided that the FCS layer does not exceed 1.5 mil (0.0015 inch) in thickness. (b) fatty and high alcohol-content food (food types III, IV-A, V, VI-C, VII-A, and IX, as described in Table 1), under Conditions of Use E through G, as described in Table 2, provided that the FCS layer does not exceed 0.75 mil (0.00075 inch) in thickness.",06/04/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("49"),,,,,," Nylon 6 polymers produced using benzoic acid as a blocking agent.",," Unitika Ltd."," Unitika Ltd."," The Nylon 6 polymers would be used for food-contact applications as described in 21 CFR 177.1500(b)(6.1) and (6.2)."," Maximum use level of 0.15 percent by weight of benzoic acid in the finished polymer. The finished polymers are intended to contact all types of food under Conditions of Use A through H, as described in Table 2. The finished Nylon 6 polymers must meet the applicable specifications prescribed in 21 CFR 177.1500(b) when tested by the methods described in 21 CFR 177.1500(c).",06/09/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("51"),,,,,,," REPLACED BY FCN 232",,,,,," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("52"),,,,,," A high density agarose resin, crosslinked and alkylated with epichlorohydrin, followed by chemical binding of benzylamine. The agarose resin would be in the form of beads with a particle size of 100 to 300 um for not less than 90% of the particles.",," Chr. Hansen A/S"," UpFront Chromatography A/S"," As a chromatographic material for the isolation and purification of food enzymes."," For use only in contact with aqueous food enzyme solutions. The resins shall be used and stored (long term storage) at pH values that do not exceed 12. The water, buffers, and food passing through the resins shall have temperatures that do not exceed 30°C and linear flow rates that are not less than 150 centimeters/hour. The resins must comply with the applicable limitations for ion exchange resins in 21 CFR 173.25(c).",08/02/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("53"),,,,,," The substance is a mixture consisting of 63-72% oxidized bis(hydrogenated tallow alkyl)amines (CAS Reg. No. 143925-92-2), 12-15% bis(hydrogenated tallow alkyl)amines, 4-8% (hydrogenated tallow alkyl)nitrones, and 5-12% (hydrogenated tallow alkyl)oximes.",," Ciba Specialty Chemicals Corporation"," BASF Corporation"," As an antioxidant and/or stabilizer in olefin polymers."," 1. At levels not to exceed 0.1 percent by weight of polypropylene polymers complying with 21 CFR 177.1520(c), item 1.1, 1.2, 1.3, 3.1a (with density of 0.85-0.91 gram per cubic centimeter), 3.2b, 3.4 and 3.5. The finished polymers may be used in contact with: (a) food types I, II, IV-B, VII-B and VIII described in Table 1, under Condition of Use A described in Table 2; (b) food types VI-A and VI-B described in Table 1, under Conditions of Use A through C described in Table 2; and food types III, IV-A, V, VI-C, VII-A, and IX described in Table 1, under Conditions of Use B and C described in Table 2.2. At levels not to exceed 0.1 percent by weight of high density polyethylene polymers and copolymers complying with 21 CFR 177.1520(c), item 2.1, 2.2, 2.3, 3.1a, 3.1b, 3.2a, 3.6 (with a density not less than 0.94 gram per cubic centimeter) and 5. The finished polymers may be used in contact with food types I, II, IV-B, VI-A, VI-B, VII-B and VIII under Conditions of Use A through H as described in Tables 1 and 2, and with food types III, IV-A, V, VI-C, VII-A and IX under Conditions of Use B through H as described in Tables 1 and 2.3. At levels not to exceed 0.1 percent by weight of polyethylene polymers and copolymers complying with 21 CFR 177.1520(c), item 2.1, 2.2, 2.3, 3.1a, 3.1b, 3.2a, 3.4, 3.5, and 3.6 (with a density less than 0.94 gram per cubic centimeter). The finished polymers may be used under Conditions of Use B through H described in Table 2.",06/15/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
