FCM and Articles Regulation, Annex I - Authorised Substances
Note: Group entries are split in different rows.
Export date: 12/03/2025 10:41:38
Header

"Substance Identifier"	""	



""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1,4:3,6-dianhydrosorbitol"	"211-492-3"	"652-67-5"	"1,4:3,6-dianhydrosorbitol"	"652-67-5"	"364"	"15404"	"no"	"yes"	"no"	"5 mg/kg"	""	""	""	"Only to be used as: (a) a co-monomer in poly (ethylene-co-isosorbide terephthalate); (b) a co-monomer at levels of up to 40 mole % of the diol component in combination with ethylene glycol and/or 1,4-bis(hydroxymethyl)cyclohexane, for the production of polyesters. Polyesters made using dianhydrosorbitol together with 1,4-bis(hydroxymethyl)cyclohexane shall not be used in contact with foods containing more than 15 % alcohol."	""	""	""	""	
"1,5-naphthalene diisocyanate"	"221-641-4"	"3173-72-6"	"1,5-naphthalene diisocyanate"	"3173-72-6"	"461"	"22420"	"no"	"yes"	"no"	""	"G17 Group Restriction No. 17 corresponds to FCM substance No. 4,167,169,198,274,354,372,460,461,475,476,485,490,653. Group restriction specification is expressed as isocyanate moiety."	"4,167,169,198,274,354,372,460,461,475,476,485,490,653"	"0.01 mg/kg"	"1 mg/kg in final product expressed as isocyanate moiety."	"V10 Verification of compliance by residual content per food contact surface area (QMA) in case of reaction with food or simulant."	"ND The specific migration limit is non-detectable (ND). A detection limit of 0.01mg substance per kg food is applicable unless specified differently for an individual substance."	""	"As isocyanate moiety"	
"1,6-hexamethylene-bis(3-(3,5-di-tert-butyl-4-hydroxyphenyl)propionamide)"	"245-442-7"	"23128-74-7"	"1,6-hexamethylene-bis(3-(3,5-di-tert-butyl-4-hydroxyphenyl)propionamide)"	"23128-74-7"	"631"	"59120"	"yes"	"no"	"yes"	"45 mg/kg"	""	""	""	""	""	""	""	""	
"1,6-hexamethylene-bis(3-(3,5-di-tert-butyl-4-hydroxyphenyl)propionate)"	"252-346-9"	"35074-77-2"	"1,6-hexamethylene-bis(3-(3,5-di-tert-butyl-4-hydroxyphenyl)propionate)"	"35074-77-2"	"678"	"59200"	"yes"	"no"	"yes"	"6 mg/kg"	""	""	""	""	""	""	""	""	
"1,6-hexanediamine, N1,N6-bis(2,2,6,6-tetramethyl-4-piperidinyl)-, polymer with 2,4-dichloro-6-(4-morpholinyl)-1,3,5-triazine"	"617-335-9"	"82451-48-7"	"1,6-hexanediamine, N1,N6-bis(2,2,6,6-tetramethyl-4-piperidinyl)-, polymer with 2,4-dichloro-6-(4-morpholinyl)-1,3,5-triazine"	"82451-48-7"	"790"	"80480"	"yes"	"no"	"no"	"5 mg/kg"	""	""	""	"Average molecular weight not less than 2400 Da.Residual content of morpholine ≤ 30 mg/kg, of N,N&#39;-bis(2,2,6,6-tetramethylpiperidin-4-yl)hexane-1,6-diamine &lt; 15000 mg/kg, and of 2,4-dichloro-6-morpholino-1,3,5-triazine ≤ 20 mg/kg."	"V16 There is a risk that the SML could be exceeded from low-density polyethylene (LDPE) containing more than 0.3 % w/w of the substance when in contact with fatty foods."	""	""	""	
"1,6-hexanediol"	"211-074-0"	"629-11-8"	"1,6-hexanediol"	"629-11-8"	"361"	"18700"	"no"	"yes"	"no"	"0.05 mg/kg"	""	""	""	""	""	""	""	""	
"1,7-octadiene"	"223-054-9"	"3710-30-3"	"1,7-octadiene"	"3710-30-3"	"1034"	""	"no"	"yes"	"no"	"0.05 mg/kg"	""	""	""	"Only to be used as a crosslinking co-monomer in the manufacture of polyolefins for contact with any type of foods for long term storage at room temperature, including when packaged under hot-fill conditions."	""	""	""	""	
"1,9-decadiene"	"216-711-6"	"1647-16-1"	"1,9-decadiene"	"1647-16-1"	"424"	"15070"	"no"	"yes"	"no"	"0.05 mg/kg"	""	""	""	""	""	""	""	""	
"1-(2-hydroxyethyl)-4-hydroxy-2,2,6,6-tetramethyl piperidine-succinic acid, dimethyl ester, copolymer"	"613-797-0"	"65447-77-0"	"1-(2-hydroxyethyl)-4-hydroxy-2,2,6,6-tetramethyl piperidine-succinic acid, dimethyl ester, copolymer"	"65447-77-0"	"716"	"60800"	"yes"	"no"	"no"	"30 mg/kg"	""	""	""	""	""	""	""	""	
"1-(3-chloroallyl)-3,5,7-triaza-1-azoniaadamantane chloride"	"223-805-0"	"4080-31-3"	"1-(3-chloroallyl)-3,5,7-triaza-1-azoniaadamantane chloride"	"4080-31-3"	"474"	"43600"	"yes"	"no"	"no"	"0.3 mg/kg"	""	""	""	""	""	""	""	""	
"1-amino-3-aminomethyl-3,5,5-trimethylcyclohexane"	"220-666-8"	"2855-13-2"	"1-amino-3-aminomethyl-3,5,5-trimethylcyclohexane"	"2855-13-2"	"454"	"12670"	"no"	"yes"	"no"	"6 mg/kg"	""	""	""	""	""	""	""	""	
"1-butanol"	"200-751-6"	"71-36-3"	"1-butanol"	"71-36-3"	"123"	"13840"	"no"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"1-butene"	"203-449-2"	"106-98-9"	"1-butene"	"106-98-9"	"222"	"13870"	"no"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"1-decanol"	"203-956-9"	"112-30-1"	"1-decanol"	"112-30-1"	"267"	"15100"	"no"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"1-decene"	"212-819-2"	"872-05-9"	"1-decene"	"872-05-9"	"375"	"15130"	"no"	"yes"	"no"	"0.05 mg/kg"	""	""	""	""	""	""	""	""	
"1-dodecene"	"203-968-4"	"112-41-4"	"1-dodecene"	"112-41-4"	"268"	"16704"	"no"	"yes"	"no"	"0.05 mg/kg"	""	""	""	""	""	""	""	""	
"1-hexadecanol"	"253-149-0"	"36653-82-4"	"1-hexadecanol"	"36653-82-4"	"681"	"18310"	"no"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"1-hexene"	"209-753-1"	"592-41-6"	"1-hexene"	"592-41-6"	"356"	"18820"	"no"	"yes"	"no"	"3 mg/kg"	""	""	""	""	""	""	""	""	
"1-isocyanato-3-isocyanatomethyl-3,5,5-trimethylcyclohexane"	"223-861-6"	"4098-71-9"	"1-isocyanato-3-isocyanatomethyl-3,5,5-trimethylcyclohexane"	"4098-71-9"	"475"	"19110"	"no"	"yes"	"no"	""	"G17 Group Restriction No. 17 corresponds to FCM substance No. 4,167,169,198,274,354,372,460,461,475,476,485,490,653. Group restriction specification is expressed as isocyanate moiety."	"4,167,169,198,274,354,372,460,461,475,476,485,490,653"	"0.01 mg/kg"	"1 mg/kg in final product expressed as isocyanate moiety."	"V10 Verification of compliance by residual content per food contact surface area (QMA) in case of reaction with food or simulant."	"ND The specific migration limit is non-detectable (ND). A detection limit of 0.01mg substance per kg food is applicable unless specified differently for an individual substance."	""	"As isocyanate moiety"	
"1-nonanol"	"205-583-7"	"143-08-8"	"1-nonanol"	"143-08-8"	"331"	"22480"	"no"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"1-octanol"	"203-917-6"	"111-87-5"	"1-octanol"	"111-87-5"	"265"	"22600"	"no"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"1-octene"	"203-893-7"	"111-66-0"	"1-octene"	"111-66-0"	"264"	"22660"	"no"	"yes"	"no"	"15 mg/kg"	""	""	""	""	""	""	""	""	
"1-pentanol"	"200-752-1"	"71-41-0"	"1-pentanol"	"71-41-0"	"124"	"22870"	"no"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"1-pentene"	"203-694-5"	"109-67-1"	"1-pentene"	"109-67-1"	"245"	"22900"	"no"	"yes"	"no"	"5 mg/kg"	""	""	""	""	""	""	""	""	
"1-propanol"	"200-746-9"	"71-23-8"	"1-propanol"	"71-23-8"	"122"	"23800"	"no"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"1-tetradecene"	"214-306-9"	"1120-36-1"	"1-tetradecene"	"1120-36-1"	"388"	"25080"	"no"	"yes"	"no"	"0.05 mg/kg"	""	""	""	""	""	""	""	""	
"1-vinylimidazole"	"214-012-0"	"1072-63-5"	"1-vinylimidazole"	"1072-63-5"	"387"	"26155"	"no"	"yes"	"no"	"0.05 mg/kg"	""	""	""	""	""	""	""	""	
"11-aminoundecanoic acid"	"219-417-6"	"2432-99-7"	"11-aminoundecanoic acid"	"2432-99-7"	"443"	"12788"	"no"	"yes"	"no"	"5 mg/kg"	""	""	""	""	""	""	""	""	
"12-aminododecanoic acid"	"211-754-7"	"693-57-2"	"12-aminododecanoic acid"	"693-57-2"	"369"	"12761"	"no"	"yes"	"no"	"0.05 mg/kg"	""	""	""	""	""	""	""	""	
"12-hydroxystearic acid"	"203-366-1"	"106-14-9"	"12-hydroxystearic acid"	"106-14-9"	"214"	"61840"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"2,2',2'-nitrilo(triethyl tris(3,3',5,5'-tetra-tert-butyl-1,1'-bi-phenyl-2,2'-diyl)phosphite)"	"279-459-6"	"80410-33-9"	"2,2&#39;,2&#39;-nitrilo(triethyl tris(3,3&#39;,5,5&#39;-tetra-tert-butyl-1,1&#39;-bi-phenyl-2,2&#39;-diyl)phosphite)"	"80410-33-9"	"745"	"68145"	"yes"	"no"	"yes"	"5 mg/kg"	""	""	""	"SML expressed as sum of phosphite and phosphate."	""	""	""	"As sum of phosphite and phosphate"	
"2,2'-(1,4-phenylene)bis[4H-3,1-benzoxazin-4-one]"	"418-280-1"	"18600-59-4"	"2,2&#39;-(1,4-phenylene)bis[4H-3,1-benzoxazin-4-one]"	"18600-59-4"	"796"	"72141"	"yes"	"no"	"yes"	"0.05 mg/kg"	""	""	""	"SML including the sum of its hydrolysis products."	""	""	""	"As the sum of the substance and its hydrolysis products"	
"2,2'-dihydroxy-4-methoxybenzophenone"	"205-026-8"	"131-53-3"	"2,2&#39;-dihydroxy-4-methoxybenzophenone"	"131-53-3"	"317"	"48880"	"yes"	"no"	"yes"	""	"G8 Group Restriction No. 8 corresponds to FCM substance No. 317,318,319,359,431,464. Group restriction specification is expressed as the sum of the substances."	"317,318,319,359,431,464"	"6 mg/kg"	""	""	""	""	"As the sum of the substances"	
"2,2'-dihydroxy-5,5'-dichlorodiphenylmethane"	"202-567-1"	"97-23-4"	"2,2&#39;-dihydroxy--5,5&#39;-dichlorodiphenylmethane"	"97-23-4"	"179"	"48800"	"yes"	"no"	"yes"	"12 mg/kg"	""	""	""	""	""	""	""	""	
"2,2'-ethylidenebis(4,6-di-tert-butylphenyl) fluorophosphonite"	"403-020-1"	"118337-09-0"	"2,2&#39;-ethylidenebis(4,6-di-tert-butylphenyl) fluorophosphonite"	"118337-09-0"	"759"	"54300"	"yes"	"no"	"yes"	"6 mg/kg"	""	""	""	""	""	""	""	""	
"2,2'-methylene bis(4,6-di-tert-butylphenyl) sodium phosphate"	"286-344-4"	"85209-91-2"	"2,2&#39;-methylene bis(4,6-di-tert-butylphenyl) sodium phosphate"	"85209-91-2"	"749"	"66360"	"yes"	"no"	"yes"	"5 mg/kg"	""	""	""	""	""	""	""	""	
"2,2'-methylene bis(4-ethyl-6-tert-butylphenol)"	"201-814-0"	"88-24-4"	"2,2&#39;-methylene bis(4-ethyl-6-tert-butylphenol)"	"88-24-4"	"163"	"66400"	"yes"	"no"	"yes"	""	"G13 Group Restriction No. 13 corresponds to FCM substance No. 163,285. Group restriction specification is expressed as the sum of the substances."	"163,285"	"1.5 mg/kg"	""	""	""	""	"As the sum of the substances"	
"2,2'-methylene bis(4-methyl-6-tert-butylphenol)"	"204-327-1"	"119-47-1"	"2,2&#39;-methylene bis(4-methyl-6-tert-butylphenol)"	"119-47-1"	"285"	"66480"	"yes"	"no"	"yes"	""	"G13 Group Restriction No. 13 corresponds to FCM substance No. 163,285. Group restriction specification is expressed as the sum of the substances."	"163,285"	"1.5 mg/kg"	""	""	""	""	"As the sum of the substances"	
"2,2'-methylenebis(4,6-di-tert-butylphenyl) lithium phosphate"	"617-688-9"	"85209-93-4"	"2,2&#39;-methylenebis(4,6-di-tert-butylphenyl) lithium phosphate"	"85209-93-4"	"750"	"66350"	"yes"	"no"	"no"	"5 mg/kg"	""	""	""	""	""	""	""	""	
"2,2'-methylenebis(4-methyl-6-(1-methylcyclohexyl)phenol)"	"201-044-5"	"77-62-3"	"2,2&#39;-methylenebis(4-methyl-6-(1-methylcyclohexyl)phenol)"	"77-62-3"	"137"	"66580"	"yes"	"no"	"yes"	""	"G5 Group Restriction No. 5 corresponds to FCM substance No. 137,472. Group restriction specification is expressed as the sum of the substances."	"137,472"	"3 mg/kg"	""	""	""	""	"As the sum of the substances"	
"2,2'-methylenebis(4-methyl-6-cyclohexylphenol)"	"223-773-8"	"4066-02-8"	"2,2&#39;-methylenebis(4-methyl-6-cyclohexylphenol)"	"4066-02-8"	"472"	"66560"	"yes"	"no"	"yes"	""	"G5 Group Restriction No. 5 corresponds to FCM substance No. 137,472. Group restriction specification is expressed as the sum of the substances."	"137,472"	"3 mg/kg"	""	""	""	""	"As the sum of the substances"	
"2,2'-oxamidobis[ethyl-3-(3,5-di-tert-butyl-4-hydroxyphenyl)-propionate]"	"274-572-7"	"70331-94-1"	"2,2&#39;-oxamidobis[ethyl-3-(3,5-di-tert-butyl-4-hydroxyphenyl)-propionate]"	"70331-94-1"	"739"	"70000"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"2,2,4(or 2,4,4)-Trimethylhexane-1,6-diisocyanate"	"691-431-9"	"32052-51-0"	"mixture of (40 % w/w) 2,2,4-trimethylhexane-1,6-diisocyanate and (60 % w/w) 2,4,4-trimethylhexane-1,6-diisocyanate"	"32052-51-0"	"4"	"22332"	"no"	"yes"	"no"	""	"G17 Group Restriction No. 17 corresponds to FCM substance No. 4,167,169,198,274,354,372,460,461,475,476,485,490,653. Group restriction specification is expressed as isocyanate moiety."	"4,167,169,198,274,354,372,460,461,475,476,485,490,653"	"0.01 mg/kg"	"1 mg/kg in final product expressed as isocyanate moiety."	"V10 Verification of compliance by residual content per food contact surface area (QMA) in case of reaction with food or simulant."	"ND The specific migration limit is non-detectable (ND). A detection limit of 0.01mg substance per kg food is applicable unless specified differently for an individual substance."	""	"As isocyanate moiety"	
"2,2,4,4-tetramethyl-20-(2,3-epoxypropyl)-7-oxa-3,20-diazadispiro-[5.1.11.2]-heneicosan-21-one, polymer"	"-"	"78301-43-6"	"2,2,4,4-tetramethyl-20-(2,3-epoxypropyl)-7-oxa-3,20-diazadispiro-[5.1.11.2]-heneicosan-21-one, polymer"	"78301-43-6"	"742"	"92700"	"yes"	"no"	"yes"	"5 mg/kg"	""	""	""	""	""	""	""	""	
"2,2,4,4-tetramethylcyclobutane-1,3-diol"	"221-140-0"	"3010-96-6"	"2,2,4,4-tetramethylcyclobutane-1,3-diol"	"3010-96-6"	"881"	"25187"	"no"	"yes"	"no"	"5 mg/kg"	""	""	""	"Only for: (a) repeated use articles for long term storage at room temperature or below and hotfill; (b) single use materials and articles as a co-monomer at a maximum use level of 35 mole % of the diol component of polyesters, and if such materials and articles are for long term storage at room temperature or below of food types which have an alcohol content of up to 10 % and for which Table 2 of Annex III does not assign simulant D2. Hot fill conditions are allowed for such single use materials and articles."	""	""	""	""	
"2,2,4-trimethyl-1,3-pentanediol diisobutyrate"	"229-934-9"	"6846-50-0"	"2,2,4-trimethyl-1,3-pentanediol diisobutyrate"	"6846-50-0"	"497"	"95020"	"yes"	"no"	"no"	"5 mg/kg"	""	""	""	"Only to be used in single-use gloves."	""	""	""	""	
"2,2-bis(4-hydroxyphenyl)propane bis(2,3-epoxypropyl) ether"	"216-823-5"	"1675-54-3"	"2,2-bis(4-hydroxyphenyl)propane bis(2,3-epoxypropyl) ether"	"1675-54-3"	"426"	"1361013510"	"no"	"yes"	"no"	""	""	""	""	"In compliance with Commission Regulation (EC) No 1895/2005 [OJ L 302, 19.11.2005, p. 28]."	""	""	""	""	
"2,2-bis(4-hydroxyphenyl)propane bis(phthalic anhydride)"	"253-781-7"	"38103-06-9"	"2,2-bis(4-hydroxyphenyl)propane bis(phthalic anhydride)"	"38103-06-9"	"687"	"1361413530"	"no"	"yes"	"no"	"0.05 mg/kg"	""	""	""	""	""	""	""	""	
"2,2-bis(hydroxymethyl)propionic acid"	"225-306-3"	"4767-03-7"	"2,2-bis(hydroxymethyl)propionic acid"	"4767-03-7"	"484"	"13395"	"no"	"yes"	"no"	"0.05 mg/kg"	""	""	""	""	"V1 Verification of compliance by residual content per food contact surface area (QMA) pending the availability of an analytical method."	""	""	""	
"2,2-dimethyl-1,3-propanediol"	"204-781-0"	"126-30-7"	"2,2-dimethyl-1,3-propanediol"	"126-30-7"	"310"	"1639022437"	"no"	"yes"	"no"	"0.05 mg/kg"	""	""	""	""	""	""	""	""	
"2,3,3,4,4,5,5-heptafluoro-1-pentene"	"-"	"1547-26-8"	"2,3,3,4,4,5,5-heptafluoro-1-pentene"	"1547-26-8"	"1063"	""	"no"	"yes"	"no"	""	""	""	""	"Only to be used together with tetrafluoroethylene and/or ethylene co-monomers to manufacture fluorocopolymers for application as polymer processing aid at up to 0,2 % w/w of the food contact material, and when the low-molecular mass fraction below 1 500 Da in the fluorocopolymer does not exceed 30 mg/kg."	""	""	""	""	
"2,3,6-trimethylphenol"	"219-330-3"	"2416-94-6"	"2,3,6-trimethylphenol"	"2416-94-6"	"882"	"25872"	"no"	"yes"	"no"	"0.05 mg/kg"	""	""	""	""	""	""	""	""	
"2,4,4'-trifluorobenzophenone"	"813-638-7"	"80512-44-3"	"2,4,4&#39;-trifluorobenzophenone"	"80512-44-3"	"1061"	""	"no"	"yes"	"no"	""	""	""	""	"Only to be used as a comonomer in the manufacture of polyether ether ketone plastics up to 0,3 % w/w of the final material."	""	""	""	""	
"2,4,6-triamino-1,3,5-triazine"	"203-615-4"	"108-78-1"	"2,4,6-triamino-1,3,5-triazine"	"108-78-1"	"239"	"254201997593720"	"yes"	"yes"	"no"	"2.5 mg/kg"	""	""	""	""	""	""	""	""	
"2,4,6-tris(tert-butyl)phenyl-2-butyl-2-ethyl-1,3-propanediol phosphite"	"423-560-1"	"161717-32-4"	"2,4,6-tris(tert-butyl)phenyl-2-butyl-2-ethyl-1,3-propanediol phosphite"	"161717-32-4"	"774"	"95270"	"yes"	"no"	"yes"	"2 mg/kg"	""	""	""	"SML expressed as sum of phosphite, phosphate and the hydrolysis product = TTBP."	""	""	""	"As sum of phosphite, phosphate and the hydrolysis product = TTBP"	
"2,4,8,10-tetraoxaspiro[5,5]undecane-3,9-diethanol,β3,β3,β9,β9-tetramethyl-(''SPG'')"	"604-479-2"	"1455-42-1"	"2,4,8,10-tetraoxaspiro[5,5]undecane-3,9-diethanol,β3,β3,β9,β9-tetramethyl-(&#39;&#39;SPG&#39;&#39;)"	"1455-42-1"	"1052"	""	"no"	"yes"	"no"	"5 mg/kg"	""	""	""	"Only to be used as a monomer in the production of polyesters.The migration of oligomers of less than 1 000 Da shall not exceed 50 µg/kg food (expressed as SPG)."	"V22 When used in contact with non-alcoholic foods for which Table 2 of Annex III assigns food simulant D1, food simulant C shall be used for verification of compliance instead of food simulant D1.V23 When a final material/article containing this substance is placed on the market, a well described method suitable for use by a competent authority to determine oligomer migration compliance with the restrictions in column 10 Table 1 shall be part of the supporting document referred to in Art. 16. Reference shall be made if an adequate method is publicly available. If it requires a calibration sample, a sufficient sample shall be supplied to the competent authority on its request."	""	""	""	
"2,4-bis(2,4-dimethylphenyl)-6-(2-hydroxy-4-n-octyloxyphenyl)-1,3,5-triazine"	"412-440-4"	"2725-22-6"	"2,4-bis(2,4-dimethylphenyl)-6-(2-hydroxy-4-n-octyloxyphenyl)-1,3,5-triazine"	"2725-22-6"	"452"	"38885"	"yes"	"no"	"no"	"5 mg/kg"	""	""	""	""	""	""	""	""	
"2,4-bis(dodecylthiomethyl)-6-methylphenol"	"438-600-3"	"110675-26-8"	"2,4-bis(dodecylthiomethyl)-6-methylphenol"	"110675-26-8"	"758"	"38940"	"yes"	"no"	"yes"	""	"G24 Group Restriction No. 24 corresponds to FCM substance No. 756,758. Group restriction specification is expressed as the sum of the substances."	"756,758"	"5 mg/kg"	""	""	""	""	"As the sum of the substances"	
"2,4-bis(octylmercapto)-6-(4-hydroxy-3,5-di-tert-butylanilino)-1,3,5-triazine"	"213-590-1"	"991-84-4"	"2,4-bis(octylmercapto)-6-(4-hydroxy-3,5-di-tert-butylanilino)-1,3,5-triazine"	"991-84-4"	"384"	"40000"	"yes"	"no"	"yes"	"30 mg/kg"	""	""	""	""	""	""	""	""	
"2,4-bis(octylthiomethyl)-6-methylphenol"	"402-860-6"	"110553-27-0"	"2,4-bis(octylthiomethyl)-6-methylphenol"	"110553-27-0"	"756"	"40020"	"yes"	"no"	"yes"	""	"G24 Group Restriction No. 24 corresponds to FCM substance No. 756,758. Group restriction specification is expressed as the sum of the substances."	"756,758"	"5 mg/kg"	""	""	""	""	"As the sum of the substances"	
"2,4-diamino-6-hydroxypyrimidine"	"200-254-4"	"56-06-4"	"2,4-diamino-6-hydroxypyrimidine"	"56-06-4"	"864"	"46330"	"yes"	"no"	"no"	"5 mg/kg"	""	""	""	"Only to be used in rigid poly(vinyl chloride) (PVC) in contact with non-acidic and non-alcoholic aqueous food."	""	""	""	""	
"2,4-diamino-6-phenyl-1,3,5-triazine"	"202-095-6"	"91-76-9"	"2,4-diamino-6-phenyl-1,3,5-triazine"	"91-76-9"	"168"	"1307515310"	"no"	"yes"	"no"	"5 mg/kg"	""	""	""	""	""	""	""	""	
"2,4-dihydroxybenzophenone"	"205-029-4"	"131-56-6"	"2,4-dihydroxybenzophenone"	"131-56-6"	"318"	"48640"	"yes"	"no"	"no"	""	"G8 Group Restriction No. 8 corresponds to FCM substance No. 317,318,319,359,431,464. Group restriction specification is expressed as the sum of the substances."	"317,318,319,359,431,464"	"6 mg/kg"	""	""	""	""	"As the sum of the substances"	
"2,4-dimethyl-6-(1-methylpentadecyl)phenol"	"411-220-5"	"134701-20-5"	"2,4-dimethyl-6-(1-methylpentadecyl)phenol"	"134701-20-5"	"765"	"49485"	"yes"	"no"	"yes"	"1 mg/kg"	""	""	""	""	""	""	""	""	
"2,4-toluene diisocyanate"	"209-544-5"	"584-84-9"	"2,4-toluene diisocyanate"	"584-84-9"	"354"	"25210"	"no"	"yes"	"no"	""	"G17 Group Restriction No. 17 corresponds to FCM substance No. 4,167,169,198,274,354,372,460,461,475,476,485,490,653. Group restriction specification is expressed as isocyanate moiety."	"4,167,169,198,274,354,372,460,461,475,476,485,490,653"	"0.01 mg/kg"	"1 mg/kg in final product expressed as isocyanate moiety."	"V10 Verification of compliance by residual content per food contact surface area (QMA) in case of reaction with food or simulant."	"ND The specific migration limit is non-detectable (ND). A detection limit of 0.01mg substance per kg food is applicable unless specified differently for an individual substance."	""	"As isocyanate moiety"	
